CustomerID,CustomerName,Region,JoinDate
1,Customer 1,North,2021-01-01
2,Customer 2,South,2021-01-16
3,Customer 3,East,2021-01-31
4,Customer 4,West,2021-02-15
5,Customer 5,South,2021-03-02
6,Customer 6,East,2021-03-17
7,Customer 7,South,2021-04-01
8,Customer 8,East,2021-04-16
9,Customer 9,East,2021-05-01
10,Customer 10,West,2021-05-16
11,Customer 11,South,2021-05-31
12,Customer 12,East,2021-06-15
13,Customer 13,East,2021-06-30
14,Customer 14,East,2021-07-15
15,Customer 15,South,2021-07-30
16,Customer 16,East,2021-08-14
17,Customer 17,East,2021-08-29
18,Customer 18,South,2021-09-13
19,Customer 19,South,2021-09-28
20,Customer 20,West,2021-10-13
21,Customer 21,West,2021-10-28
22,Customer 22,West,2021-11-12
23,Customer 23,West,2021-11-27
24,Customer 24,South,2021-12-12
25,Customer 25,East,2021-12-27
26,Customer 26,West,2022-01-11
27,Customer 27,East,2022-01-26
28,Customer 28,South,2022-02-10
29,Customer 29,South,2022-02-25
30,Customer 30,North,2022-03-12
31,Customer 31,West,2022-03-27
32,Customer 32,South,2022-04-11
33,Customer 33,West,2022-04-26
34,Customer 34,East,2022-05-11
35,Customer 35,North,2022-05-26
36,Customer 36,West,2022-06-10
37,Customer 37,North,2022-06-25
38,Customer 38,West,2022-07-10
39,Customer 39,West,2022-07-25
40,Customer 40,North,2022-08-09
41,Customer 41,West,2022-08-24
42,Customer 42,South,2022-09-08
43,Customer 43,East,2022-09-23
44,Customer 44,East,2022-10-08
45,Customer 45,East,2022-10-23
46,Customer 46,West,2022-11-07
47,Customer 47,East,2022-11-22
48,Customer 48,South,2022-12-07
49,Customer 49,South,2022-12-22
50,Customer 50,South,2023-01-06
