ProductID,ProductName,Category,Cost
1,Product 1,Clothing,25.65
2,Product 2,Furniture,24.76
3,Product 3,Furniture,22.63
4,Product 4,Furniture,45.83
5,Product 5,Electronics,25.77
6,Product 6,Electronics,45.24
7,Product 7,Clothing,47.97
8,Product 8,Electronics,9.43
9,Product 9,Furniture,16.7
10,Product 10,Electronics,49.28
11,Product 11,Clothing,26.53
12,Product 12,Electronics,34.3
13,Product 13,Furniture,9.79
14,Product 14,Clothing,47.63
15,Product 15,Clothing,13.33
16,Product 16,Furniture,9.42
17,Product 17,Furniture,15.8
18,Product 18,Furniture,47.04
19,Product 19,Electronics,22.39
20,Product 20,Electronics,44.61
