SaleID,ProductID,CustomerID,StoreID,Quantity,UnitPrice,SaleDate
1,12,4,1,3,69.42,2023-01-01
2,17,32,1,7,41.89,2023-01-02
3,10,32,2,7,78.07,2023-01-03
4,6,48,4,5,99.86,2023-01-04
5,8,11,4,8,49.25,2023-01-05
6,17,16,3,4,51.0,2023-01-06
7,1,36,5,5,57.53,2023-01-07
8,8,8,4,8,57.34,2023-01-08
9,20,13,5,2,31.67,2023-01-09
10,9,18,5,8,56.86,2023-01-10
11,16,46,2,6,77.75,2023-01-11
12,9,47,2,5,53.95,2023-01-12
13,13,40,1,8,12.98,2023-01-13
14,16,24,4,1,98.57,2023-01-14
15,18,13,3,1,53.04,2023-01-15
16,13,29,2,7,85.41,2023-01-16
17,17,26,4,8,38.67,2023-01-17
18,7,37,5,2,81.14,2023-01-18
19,18,38,5,6,78.16,2023-01-19
20,16,34,1,4,25.7,2023-01-20
21,5,10,4,1,94.55,2023-01-21
22,3,31,3,1,12.46,2023-01-22
23,1,24,4,4,23.33,2023-01-23
24,20,38,4,4,39.51,2023-01-24
25,11,30,2,1,10.96,2023-01-25
26,13,35,5,2,22.11,2023-01-26
27,18,50,1,2,93.28,2023-01-27
28,7,46,2,2,36.62,2023-01-28
29,11,29,5,9,71.31,2023-01-29
30,17,3,3,9,21.9,2023-01-30
31,6,17,4,2,77.15,2023-01-31
32,1,40,5,5,35.65,2023-02-01
33,17,23,3,3,99.87,2023-02-02
34,10,35,5,4,15.9,2023-02-03
35,20,19,5,6,73.73,2023-02-04
36,17,14,4,2,76.17,2023-02-05
37,15,50,5,5,37.51,2023-02-06
38,7,49,4,2,63.49,2023-02-07
39,3,36,3,6,65.31,2023-02-08
40,18,6,5,8,59.39,2023-02-09
41,1,29,5,7,72.5,2023-02-10
42,14,9,3,1,22.89,2023-02-11
43,1,32,4,4,28.32,2023-02-12
44,11,24,5,1,82.41,2023-02-13
45,10,32,4,4,87.31,2023-02-14
46,3,44,2,6,88.38,2023-02-15
47,15,4,2,2,10.77,2023-02-16
48,10,37,3,7,38.35,2023-02-17
49,16,24,5,5,88.29,2023-02-18
50,9,17,4,9,77.7,2023-02-19
51,15,1,5,7,26.59,2023-02-20
52,9,25,1,5,62.5,2023-02-21
53,15,34,4,2,77.4,2023-02-22
54,3,34,1,3,47.78,2023-02-23
55,5,32,2,2,79.97,2023-02-24
56,5,28,4,8,42.15,2023-02-25
57,20,22,1,5,14.74,2023-02-26
58,17,26,1,2,40.33,2023-02-27
59,2,6,1,2,45.06,2023-02-28
60,12,50,4,4,49.27,2023-03-01
61,4,31,2,9,28.76,2023-03-02
62,12,38,2,3,49.21,2023-03-03
63,19,29,2,7,60.74,2023-03-04
64,7,46,4,2,20.03,2023-03-05
65,8,29,1,8,35.35,2023-03-06
66,2,49,5,1,46.15,2023-03-07
67,8,26,2,9,19.64,2023-03-08
68,17,28,2,6,33.94,2023-03-09
69,17,23,3,3,37.86,2023-03-10
70,13,36,3,9,38.54,2023-03-11
71,7,29,1,2,45.19,2023-03-12
72,12,5,5,3,52.71,2023-03-13
73,20,44,3,3,33.23,2023-03-14
74,6,1,2,9,94.99,2023-03-15
75,6,19,5,3,41.27,2023-03-16
76,11,37,2,4,65.62,2023-03-17
77,13,35,2,4,63.87,2023-03-18
78,19,16,1,6,67.35,2023-03-19
79,20,33,1,1,68.05,2023-03-20
80,1,19,1,5,92.87,2023-03-21
81,1,22,5,1,70.29,2023-03-22
82,7,26,5,5,69.83,2023-03-23
83,11,39,4,7,19.01,2023-03-24
84,19,12,3,6,30.76,2023-03-25
85,15,23,1,8,86.21,2023-03-26
86,11,50,2,1,90.18,2023-03-27
87,16,36,5,7,72.39,2023-03-28
88,15,36,4,4,84.88,2023-03-29
89,13,47,4,1,67.36,2023-03-30
90,20,47,3,9,89.68,2023-03-31
91,14,1,2,8,49.38,2023-04-01
92,4,45,2,7,34.1,2023-04-02
93,1,43,3,6,65.58,2023-04-03
94,12,23,4,1,36.4,2023-04-04
95,19,23,1,3,70.55,2023-04-05
96,16,18,5,1,98.87,2023-04-06
97,16,19,4,1,90.72,2023-04-07
98,13,3,2,6,18.59,2023-04-08
99,14,41,1,8,95.38,2023-04-09
100,17,8,5,1,67.39,2023-04-10
